日時,名称,PF,トピック,起源,背景,影響
2026-06-01 04:36,都知事選ポスター,N/A,"政治,社会,アート",東京都知事選挙の掲示板,多くの候補者が奇抜なデザインのポスターを掲示し、SNSで話題に。,掲示板の様子が拡散され、表現の自由について議論を呼んだ。
2026-06-01 04:36,AIゆりこ,N/A,"政治,AI,フェイクニュース",YouTubeに投稿された動画,小池都知事の顔と声をAIで合成した動画が選挙期間中に公開された。,AIによる選挙妨害の可能性が指摘され、技術の悪用について議論を呼んだ。
2026-06-01 04:36,ドクターX新作,N/A,"ドラマ,芸能",芸能ニュースサイト、SNS,人気ドラマ「ドクターX」の新作制作が報じられ、ファンが歓喜した。,長年のファンを中心に大きな話題となり、期待の声が多数投稿された。
2026-06-01 04:36,おぱんちゅううさぎ ファミマコラボ,N/A,"キャラクター,グッズ,日常",ファミリーマートのキャンペーン,人気キャラクター「おぱんちゅううさぎ」とファミリーマートのコラボ商品が発売。,ファンが商品を買い求め、SNSに購入報告や感想を投稿し拡散した。
2026-06-02 06:21,猫ミーム,N/A,"動物,ユーモア,動画編集",海外の猫動画が元。日本で独自の編集文化に。,猫のリアクション動画に音やテロップを加え感情表現。,TikTokやXで大流行。多くの派生作品が生まれる。
2026-06-02 06:21,ずんだもん,N/A,"キャラクター,AI音声,ユーモア",東北ずん子プロジェクトのキャラクター。,AI音声ソフトで利用可能に。独特のしゃべり方が人気。,YouTubeやXで動画多数。ネットミームとして定着。
2026-06-02 06:21,おぱんちゅううさぎ,N/A,"キャラクター,ユーモア,共感",イラストレーター「可哀想に！」氏がXで発表。,健気で不憫なウサギ。日常の不幸を描き共感を呼ぶ。,グッズやコラボが常に人気。SNSでの投稿も多い。
2026-06-02 06:21,都知事選ポスター掲示板,N/A,"政治,ユーモア,社会問題",2024年東京都知事選のポスター掲示板。,多くの候補者が奇抜なポスターを貼り話題に。,SNSで「カオス」と拡散。選挙制度への議論も呼んだ。
2026-06-02 06:40,猫ミーム,N/A,"動物,おもしろ,動画",海外発、TikTok/Xで流行,猫に人間の声や感情を合わせた動画,多くの派生動画が作成され、共感を呼ぶ
2026-06-02 06:40,定額減税,N/A,"政治,経済,社会",日本政府の政策,2024年6月開始の所得税・住民税減税,制度内容や恩恵についてSNSで活発な議論
2026-06-02 06:40,みそきん,N/A,"食,インフルエンサー,商業",YouTuber HIKAKINプロデュース,人気カップ麺、6月4日に再販開始,入手困難、味の感想や購入報告が多数
2026-06-02 06:40,蓮舫,N/A,"政治,選挙,社会",東京都知事選への立候補表明,著名な政治家が都知事選に立候補,政策や発言を巡りSNSで激しい議論
2026-06-02 06:40,おぱんちゅうさぎ,N/A,"キャラクター,グッズ,コラボ",可哀想に！氏によるキャラクター,新グッズやコラボ情報が6月上旬に多数,ファンによる情報共有や購入報告が活発
2026-06-03 06:19,蓮舫「二番じゃダメなんですか」,N/A,"政治, 発言",2010年事業仕分けでの発言,都知事選出馬で過去発言が再注目,政治批判や皮肉の文脈で引用・拡散
2026-06-03 06:19,ドミノピザ裏技,N/A,"グルメ, ライフハック",SNSユーザーによる特定の注文方法,安価で大容量のピザが食べられると話題,多くのユーザーが実際に試して投稿・拡散
2026-06-03 06:19,「これ以上は無理」チャレンジ,N/A,"日常, コメディ, 動画",TikTokの音声ミーム,日常の困難や限界を表現する際に使用,共感を呼び、様々なシチュエーションで動画投稿
2026-06-04 06:25,きゅうりパック,N/A,"美容,コメディ,日常",TikTokユーザーの間で流行,顔にきゅうりを貼る美容法を面白く模倣し拡散,若年層を中心にSNSで動画や画像が多数投稿され話題
2026-06-04 06:25,推しの子2期OP「ファタール」,N/A,"アニメ,音楽",アニメ「推しの子」第2期放送開始,第2期OPテーマ曲が公開され、映像と楽曲が話題に,楽曲が音楽チャートで上位に、SNSで感想・考察が多数
2026-06-05 05:16,AIゆりこ,N/A,"政治,AI,インターネット文化",河合ゆうすけ候補の都知事選ポスター,小池百合子氏に似たAI生成画像をポスターに使用。,倫理的・法的議論を呼び、パロディも拡散。
2026-06-05 05:16,都知事選奇抜ポスター,N/A,"政治,インターネット文化",2024年東京都知事選挙,候補者が意図的に目を引くデザインを多用。,SNSで比較・分析・パロディが盛んに。
